IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,com.cn,,Block,High,Silver Fox - China ccTLD Block,Blocks all *.com.cn domains. No legitimate use in environment. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01). Campaign delivers trojanised software installers to Chinese-speaking targets.,Block access and investigate any prior connections to *.com.cn in Advanced Hunting,,Malware,T1583.001,True
DomainName,hl.cn,,Block,High,Silver Fox - China ccTLD Block,Blocks all *.hl.cn (Heilongjiang province ccTLD) domains. No legitimate use in environment. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Block access and investigate any prior connections to *.hl.cn in Advanced Hunting,,Malware,T1583.001,True
DomainName,pc-razerzone.com.cn,,Block,High,Silver Fox - Lure Domain (Razer),Spoofed Razer peripheral software download page. Used to deliver trojanised installer in Silver Fox campaign (MS Security Blog 2026-09-01). Masquerades as razerzone.com.,Investigate any devices that connected to this domain prior to block. Check for dropped payloads in Public and ProgramData folders.,,Malware,T1583.001,True
DomainName,app-microsoft-edge.com.cn,,Block,High,Silver Fox - Lure Domain (Microsoft Edge),Spoofed Microsoft Edge browser download page. Used to deliver trojanised installer in Silver Fox campaign (MS Security Blog 2026-09-01).,Investigate any devices that connected to this domain prior to block. Check for dropped payloads in Public and ProgramData folders.,,Malware,T1583.001,True
DomainName,kaspersky-lab.hl.cn,,Block,High,Silver Fox - Lure Domain (Kaspersky),Spoofed Kaspersky antivirus download page. Used to deliver trojanised installer in Silver Fox campaign (MS Security Blog 2026-09-01).,Investigate any devices that connected to this domain prior to block. Check for dropped payloads in Public and ProgramData folders.,,Malware,T1583.001,True
DomainName,calibre-ebook.com.cn,,Block,High,Silver Fox - Lure Domain (Calibre),Spoofed Calibre e-book software download page. Used to deliver trojanised installer in Silver Fox campaign (MS Security Blog 2026-09-01).,Investigate any devices that connected to this domain prior to block. Check for dropped payloads in Public and ProgramData folders.,,Malware,T1583.001,True
DomainName,gehie246.com,,Block,High,Silver Fox - Payload Delivery Host,Primary payload delivery host. Serves stage-one installers via /712down path. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,yimxg25tiy.com,,Block,High,Silver Fox - Payload Delivery Host,Payload delivery host serving /73inst path. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,cc8ttkv35b.com,,Block,High,Silver Fox - Payload Delivery Host,Payload delivery host serving /7qinst path. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,n7b8t85zsg.com,,Block,High,Silver Fox - Payload Delivery Host,Payload delivery host serving /ins711 path. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,mebx78e02.com,,Block,High,Silver Fox - Payload Delivery Host,Payload delivery host. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,qwjre1487.com,,Block,High,Silver Fox - Payload Delivery Host,Payload delivery host. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate any device that contacted this host. Run full AV scan and check scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1583.001,True
DomainName,iualef.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,oijfwe.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,euioxu.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,czijbh.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,wfmwsj.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,tbdqxq.net,,Block,High,Silver Fox - C2 Domain,Command and control domain. Beacon traffic observed post-infection. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
DomainName,upitem.oss-cn-hangzhou.aliyuncs.com,,Block,High,Silver Fox - C2 Cloud Staging (Alibaba OSS),Alibaba Cloud OSS bucket (Hangzhou region) used for payload staging and C2 retrieval. Silver Fox campaign (MS Security Blog 2026-09-01). Specific bucket only - not a full aliyuncs.com block.,Isolate any device that contacted this host. Investigate for TrueUpdate loader presence.,,CommandAndControl,T1105,True
DomainName,newopt001.oss-cn-hongkong.aliyuncs.com,,Block,High,Silver Fox - C2 Cloud Staging (Alibaba OSS),Alibaba Cloud OSS bucket (Hong Kong region) used for payload staging. Silver Fox campaign (MS Security Blog 2026-09-01). Specific bucket only - not a full aliyuncs.com block.,Isolate any device that contacted this host. Investigate for TrueUpdate loader presence.,,CommandAndControl,T1105,True
IpAddress,202.95.14.237,,Block,High,Silver Fox - Primary C2 Hub,Primary C2 hub. AS152194 CTG Server Ltd. Observed on port 5090. Multiple campaign C2 domains resolve here. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required. Check for vssadmin shadow delete and Windows Update disable commands.,,CommandAndControl,T1071,True
IpAddress,47.239.232.245,,Block,High,Silver Fox - C2 IP,C2 endpoint observed on port 8050. Alibaba Cloud infrastructure. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,47.243.218.255,,Block,High,Silver Fox - C2 IP,C2 endpoint observed on port 28300. Alibaba Cloud infrastructure. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,103.156.25.35,,Block,High,Silver Fox - C2 IP,C2 endpoint observed on port 7031. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
